Index,Date,Average Price,Type,Year,Region,Total Volume
49,18/01/2015,1.17,conventional,2015,Albany,44511.28
50,11/01/2015,1.24,conventional,2015,Albany,41195.08
51,4/01/2015,1.22,conventional,2015,Albany,40873.28
0,27/12/2015,0.99,conventional,2015,Atlanta,386100.49
1,20/12/2015,1.08,conventional,2015,Atlanta,331377.53
2,13/12/2015,0.96,conventional,2015,Atlanta,417772.47
3,6/12/2015,1.07,conventional,2015,Atlanta,357636.82
4,29/11/2015,0.99,conventional,2015,Atlanta,333280.79
5,22/11/2015,1,conventional,2015,Atlanta,356414.57
6,15/11/2015,1.13,conventional,2015,Atlanta,339860.68
7,8/11/2015,1.12,conventional,2015,Atlanta,334041.6
8,1/11/2015,0.99,conventional,2015,Atlanta,419088.74
9,25/10/2015,1.09,conventional,2015,Atlanta,358478.08
10,18/10/2015,1.09,conventional,2015,Atlanta,349072.48
11,11/10/2015,0.95,conventional,2015,Atlanta,433874.46
12,4/10/2015,0.96,conventional,2015,Atlanta,418682.26
13,27/09/2015,1.07,conventional,2015,Atlanta,370321.17
14,20/09/2015,0.93,conventional,2015,Atlanta,516432.6
15,13/09/2015,1.07,conventional,2015,Atlanta,417232.18
16,6/09/2015,0.97,conventional,2015,Atlanta,472136.53
17,30/08/2015,1.15,conventional,2015,Atlanta,382972.72
18,23/08/2015,1.12,conventional,2015,Atlanta,379054.29
19,16/08/2015,1.09,conventional,2015,Atlanta,465213.81
20,9/08/2015,1.01,conventional,2015,Atlanta,503791.72
21,2/08/2015,1.15,conventional,2015,Atlanta,405898.44
22,26/07/2015,1.08,conventional,2015,Atlanta,437377.75
23,19/07/2015,0.97,conventional,2015,Atlanta,557212.99
24,12/07/2015,1.14,conventional,2015,Atlanta,407204.88
25,5/07/2015,1.01,conventional,2015,Atlanta,562462.33
26,28/06/2015,1.13,conventional,2015,Atlanta,435210.71
27,21/06/2015,0.99,conventional,2015,Atlanta,554763.76
28,14/06/2015,1.1,conventional,2015,Atlanta,465804.78
29,7/06/2015,0.99,conventional,2015,Atlanta,551009.05
30,31/05/2015,1.1,conventional,2015,Atlanta,454702
31,24/05/2015,0.96,conventional,2015,Atlanta,623212.04
